singular,plural,article
aardvark,aardvarks,an
abacus,abacuses,an
abalone,abalones,an
abandon,abandon,an
abandonment,abandonment,an
abasement,abasement,an
abatement,abatements,an
abattoir,abattoirs,an
abbey,abbeys,an
abbot,abbots,an
abbreviation,abbreviations,an
abdication,abdications,an
abdomen,abdomen,an
abdominal,abdominals,an
abduction,abductions,an
abductor,abductors,an
aberrant,aberrants,an
aberration,aberrations,an
abettor,abettors,an
abeyance,abeyance,an
abhorrence,abhorrence,an
ability,abilities,an
abjuration,abjurations,an
ablative,ablatives,an
ablution,ablutions,an
abnegation,abnegation,an
abnormal,abnormals,an
abnormality,abnormalities,an
abode,abodes,an
abolition,abolitions,an
abolitionist,abolitionists,an
abomination,abominations,an
aboriginal,aboriginals,an
abortion,abortions,an
abortionist,abortionists,an
abortive,abortives,an
above,above,an
abrasion,abrasions,an
abrasive,abrasives,an
abridgment,abridgments,an
abrogation,abrogations,an
abruptness,abruptness,an
abscissa,abscissae,an
absence,absences,an
absentee,absentees,an
absenteeism,absenteeism,an
absinthe,absinthes,an
absolute,absolutes,an
absolution,absolution,an
absolutism,absolutism,an
absorbent,absorbents,an
absorption,absorptions,an
abstainer,abstainers,an
abstention,abstentions,an
abstinence,abstinence,an
abstract,abstracts,an
abstraction,abstractions,an
abstractness,abstractness,an
abstruseness,abstruseness,an
absurdity,absurdities,an
abundance,abundances,an
abuse,abuses,an
abuser,abusers,an
abusiveness,abusiveness,an
abutment,abutments,an
abyss,abysses,an
academic,academics,an
academician,academicians,an
academy,academies,an
acanthus,acanthuses,an
acceleration,accelerations,an
accelerator,accelerators,an
accent,accents,an
accentuation,accentuation,an
acceptability,acceptabilities,an
acceptance,acceptances,an
access,accesses,an
accessibility,accessibilities,an
accession,accessions,an
accident,accidents,an
accidental,accidentals,an
acclaim,acclaim,an
acclamation,acclamation,an
acclimation,acclimation,an
acclimatization,acclimatization,an
accolade,accolades,an
accommodation,accommodations,an
accompaniment,accompaniments,an
accompanist,accompanists,an
accomplice,accomplices,an
accomplishment,accomplishments,an
accord,accords,an
accordance,accordance,an
accordion,accordions,an
account,accounts,an
accountability,accountabilities,an
accountancy,accountancy,an
accountant,accountants,an
accounting,accountings,an
accreditation,accreditations,an
accretion,accretions,an
accrual,accruals,an
acculturation,acculturation,an
accumulation,accumulations,an
accumulator,accumulators,an
accuracy,accuracies,an
accurateness,accurateness,an
accusation,accusations,an
accusative,accusatives,an
accused,accused,an
accuser,accusers,an
acerbity,acerbities,an
acetate,acetates,an
acetone,acetone,an
acetylene,acetylene,an
ache,aches,an
achievement,achievements,an
achiever,achievers,an
acid,acids,an
acidity,acidities,an
acne,acne,an
acolyte,acolytes,an
aconite,aconites,an
acorn,acorns,an
acoustics,acoustics,an
acquaintance,acquaintances,an
acquiescence,acquiescence,an
acquirement,acquirements,an
acquisition,acquisitions,an
acquisitiveness,acquisitiveness,an
acquittal,acquittals,an
acre,acres,an
acreage,acreage,an
acrimony,acrimony,an
acrobat,acrobats,an
acrobatics,acrobatics,an
acronym,acronyms,an
acrostic,acrostics,an
acrylic,acrylics,an
acting,acting,an
actinium,actinium,an
action,actions,an
activation,activations,an
active,actives,an
activism,activism,an
activist,activists,an
activity,activities,an
actor,actors,an
actress,actresses,an
actuality,actualities,an
actualization,actualization,an
actuary,actuaries,an
actuator,actuators,an
acuity,acuities,an
acumen,acumen,an
acupuncture,acupuncture,an
acuteness,acuteness,an
adage,adages,an
adagio,adagios,an
adamant,adamant,an
adaptability,adaptabilities,an
adaptation,adaptations,an
adapter,adapters,an
adaptor,adaptors,an
addend,addends,an
addendum,addenda,an
adder,adders,an
addict,addicts,an
addiction,addictions,an
addition,additions,an
additive,additives,an
address,addresses,an
addressee,addressees,an
adenoid,adenoids,an
adept,adepts,an
adeptness,adeptness,an
adequacy,adequacies,an
adherence,adherences,an
adherent,adherents,an
adhesion,adhesions,an
adhesive,adhesives,an
adieu,adieu,an
adjective,adjectives,an
adjournment,adjournments,an
adjudication,adjudications,an
adjudicator,adjudicators,an
adjunct,adjuncts,an
adjuration,adjurations,an
adjuster,adjusters,an
adjustment,adjustments,an
adjutant,adjutants,an
adman,admen,an
administration,administrations,an
administrator,administrators,an
admiral,admirals,an
admiralty,admiralties,an
admiration,admiration,an
admirer,admirers,an
admission,admissions,an
admittance,admittances,an
admixture,admixtures,an
admonishment,admonishment,an
admonition,admonitions,an
ado,ado,an
adobe,adobe,an
adolescence,adolescence,an
adolescent,adolescents,an
adoption,adoptions,an
adoration,adoration,an
adornment,adornments,an
adrenal,adrenals,an
adrenaline,adrenaline,an
adroitness,adroitness,an
adulation,adulation,an
adult,adults,an
adulterant,adulterants,an
adulteration,adulterations,an
adulterer,adulterers,an
adulteress,adulteresses,an
adultery,adulteries,an
adulthood,adulthood,an
adumbration,adumbrations,an
advance,advances,an
advancement,advancements,an
advantage,advantages,an
adventure,adventures,an
adventurer,adventurers,an
adventuress,adventuresses,an
adverb,adverbs,an
adverbial,adverbials,an
adversary,adversaries,an
