singular,plural,past
abandons,abandon,abandoned
abases,abase,abased
abashes,abash,abashed
abates,abate,abated
abbreviates,abbreviate,abbreviated
abdicates,abdicate,abdicated
abducts,abduct,abducted
abets,abet,abetted
abhors,abhor,abhorred
abides,abide,abided
abjures,abjure,abjured
abnegates,abnegate,abnegated
abolishes,abolish,abolished
abominates,abominate,abominated
aborts,abort,aborted
abounds,abound,abounded
abrades,abrade,abraded
abridges,abridge,abridged
abrogates,abrogate,abrogated
abrupts,abrupt,abrupted
abscesses,abscess,abscessed
absconds,abscond,absconded
absents,absent,absented
absolves,absolve,absolved
absorbs,absorb,absorbed
abstains,abstain,abstained
abstracts,abstract,abstracted
abuses,abuse,abused
abuts,abut,abutted
accedes,accede,acceded
accelerates,accelerate,accelerated
accents,accent,accented
accentuates,accentuate,accentuated
accepts,accept,accepted
accesses,access,accessed
accessions,accession,accessioned
acclaims,acclaim,acclaimed
acclimates,acclimate,acclimated
acclimatizes,acclimatize,acclimatized
accommodates,accommodate,accommodated
accompanies,accompany,accompanied
accomplishes,accomplish,accomplished
accords,accord,accorded
accosts,accost,accosted
accounts,account,accounted
accredits,accredit,accredited
accrues,accrue,accrued
accumulates,accumulate,accumulated
accuses,accuse,accused
accustoms,accustom,accustomed
aces,ace,aced
aches,ache,ached
achieves,achieve,achieved
acidifies,acidify,acidified
acknowledges,acknowledge,acknowledged
acquaints,acquaint,acquainted
acquiesces,acquiesce,acquiesced
acquires,acquire,acquired
acquits,acquit,acquitted
actions,action,actioned
activates,activate,activated
acts,act,acted
actualizes,actualize,actualized
acupunctures,acupuncture,acupunctured
adapts,adapt,adapted
addicts,addict,addicted
addles,addle,addled
addresses,address,addressed
adds,add,added
adduces,adduce,adduced
adequates,adequate,adequated
adheres,adhere,adhered
adjoins,adjoin,adjoined
adjourns,adjourn,adjourned
adjudges,adjudge,adjudged
adjudicates,adjudicate,adjudicated
adjures,adjure,adjured
adjusts,adjust,adjusted
administers,administer,administered
administrates,administrate,administrated
admires,admire,admired
admits,admit,admitted
admonishes,admonish,admonished
adopts,adopt,adopted
adores,adore,adored
adorns,adorn,adorned
adulates,adulate,adulated
adulterates,adulterate,adulterated
adumbrates,adumbrate,adumbrated
advances,advance,advanced
advantages,advantage,advantaged
adventures,adventure,adventured
advertises,advertise,advertised
adverts,advert,adverted
advises,advise,advised
advocates,advocate,advocated
aerates,aerate,aerated
affects,affect,affected
affiliates,affiliate,affiliated
affirms,affirm,affirmed
affixes,affix,affixed
afflicts,afflict,afflicted
affords,afford,afforded
afforests,afforest,afforested
affronts,affront,affronted
ages,age,aged
agglomerates,agglomerate,agglomerated
agglutinates,agglutinate,agglutinated
aggrandizes,aggrandize,aggrandized
aggravates,aggravate,aggravated
aggregates,aggregate,aggregated
aggrieves,aggrieve,aggrieved
agitates,agitate,agitated
agonizes,agonize,agonized
agrees,agree,agreed
aids,aid,aided
ails,ail,ailed
aims,aim,aimed
airbrushes,airbrush,airbrushed
airlifts,airlift,airlifted
airmails,airmail,airmailed
airs,air,aired
alarms,alarm,alarmed
alarums,alarum,alarumed
alerts,alert,alerted
aliases,alias,aliased
alienates,alienate,alienated
alights,alight,alighted
aligns,align,aligned
allays,allay,allayed
alleges,allege,alleged
alleviates,alleviate,alleviated
allies,ally,allied
allocates,allocate,allocated
allots,allot,allotted
allows,allow,allowed
alloys,alloy,alloyed
alludes,allude,alluded
allures,allure,allured
alphabetizes,alphabetize,alphabetized
alternates,alternate,alternated
alters,alter,altered
amalgamates,amalgamate,amalgamated
amasses,amass,amassed
amazes,amaze,amazed
ambles,amble,ambled
ambushes,ambush,ambushed
ameliorates,ameliorate,ameliorated
amends,amend,amended
amortizes,amortize,amortized
amounts,amount,amounted
amplifies,amplify,amplified
amputates,amputate,amputated
amuses,amuse,amused
analyses,analyse,analysed
analyzes,analyze,analyzed
anchors,anchor,anchored
angers,anger,angered
angioplasties,angioplasty,angioplastied
angles,angle,angled
animates,animate,animated
anneals,anneal,annealed
annexes,annex,annexed
annihilates,annihilate,annihilated
annotates,annotate,annotated
announces,announce,announced
annoys,annoy,annoyed
annuls,annul,annulled
anoints,anoint,anointed
answers,answer,answered
antagonizes,antagonize,antagonized
antedates,antedate,antedated
antes,ante,anted
anticipates,anticipate,anticipated
antiquates,antiquate,antiquated
apes,ape,aped
apologizes,apologize,apologized
appalls,appall,appalled
apparels,apparel,apparelled
appeals,appeal,appealed
appears,appear,appeared
appeases,appease,appeased
appends,append,appended
appertains,appertain,appertained
applauds,applaud,applauded
applies,apply,applied
appoints,appoint,appointed
apportions,apportion,apportioned
appraises,appraise,appraised
appreciates,appreciate,appreciated
apprehends,apprehend,apprehended
apprentices,apprentice,apprenticed
apprises,apprise,apprised
apprizes,apprize,apprized
approaches,approach,approached
appropriates,appropriate,appropriated
approves,approve,approved
approximates,approximate,approximated
aquaplanes,aquaplane,aquaplaned
arbitrates,arbitrate,arbitrated
arches,arch,arched
archives,archive,archived
arcs,arc,arced
argues,argue,argued
arises,arise,arose
arms,arm,armed
arouses,arouse,aroused
arraigns,arraign,arraigned
arranges,arrange,arranged
arrays,array,arrayed
arrests,arrest,arrested
arrives,arrive,arrived
arrogates,arrogate,arrogated
articles,article,articled
articulates,articulate,articulated
ascends,ascend,ascended
ascertains,ascertain,ascertained
ascribes,ascribe,ascribed
ashes,ash,ashed
asks,ask,asked
asphalts,asphalt,asphalted
asphyxiates,asphyxiate,asphyxiated
aspirates,aspirate,aspirated
aspires,aspire,aspired
assails,assail,assailed
assassinates,assassinate,assassinated
assaults,assault,assaulted
assays,assay,assayed
assembles,assemble,assembled
assents,assent,assented
asserts,assert,asserted
assesses,assess,assessed
asseverates,asseverate,asseverated
assigns,assign,assigned
assimilates,assimilate,assimilated
assists,assist,assisted
associates,associate,associated
assorts,assort,assorted
assuages,assuage,assuaged
assumes,assume,assumed
assures,assure,assured
asterisks,asterisk,asterisked
astonishes,astonish,astonished
astounds,astound,astounded
atones,atone,atoned
atrophies,atrophy,atrophied
attaches,attach,attached
attacks,attack,attacked
attains,attain,attained
attempts,attempt,attempted
attends,attend,attended
attenuates,attenuate,attenuated
attests,attest,attested
attires,attire,attired
attitudinizes,attitudinize,attitudinized
attracts,attract,attracted
attributes,attribute,attributed
attunes,attune,attuned
auctions,auction,auctioned
auditions,audition,auditioned
audits,audit,audited
augments,augment,augmented
augurs,augur,augured
authenticates,authenticate,authenticated
authorizes,authorize,authorized
authors,author,authored
autographs,autograph,autographed
autopsies,autopsy,autopsied
avails,avail,availed
avalanches,avalanche,avalanched
avenges,avenge,avenged
averages,average,averaged
avers,aver,averred
averts,avert,averted
avoids,avoid,avoided
avows,avow,avowed
awaits,await,awaited
